485,Blitzkrieg,2003,PC,Blitzkrieg,10242,1984,https://www.igdb.com/games/blitzkrieg--1
476,World of Warcraft,2004,PC,World of Warcraft,123,2004,https://www.igdb.com/games/world-of-warcraft
484,Sid Meier's Civilization III,2001,PC,Sid Meier's Civilization III,310,2001,https://www.igdb.com/games/sid-meier-s-civilization-iii
493,Gothic II,2003,PC,Gothic II,2262,2002,https://www.igdb.com/games/gothic-ii
498,Return to Castle Wolfenstein,2001,PC,Return to Castle Wolfenstein,281,2001,https://www.igdb.com/games/return-to-castle-wolfenstein
507,Caesar III,1998,PC,Caesar III,6332,1998,https://www.igdb.com/games/caesar-iii
563,Beholder,2016,Nintendo Switch,Beholder,24905,2016,https://www.igdb.com/games/eye-of-the-beholder-ii-the-legend-of-darkmoon
14,Uncharted 4: A Thief's End,2016,PlayStation 4,Uncharted 4: A Thief's End,7331,2016,https://www.igdb.com/games/uncharted-4-a-thief-s-end
516,Need for Speed II,1997,PC,Need for Speed II,91,1997,https://www.igdb.com/games/need-for-speed-ii
406,Mario Kart 8,2014,Nintendo Switch,Mario Kart 8,26764,2017,https://www.igdb.com/games/mario-kart-8
525,StarCraft,1998,PC,StarCraft,230,1998,https://www.igdb.com/games/starcraft
9,Mass Effect 2,2010,PC,Mass Effect 2,74,2010,https://www.igdb.com/games/mass-effect-2
550,Dune II: The Building of a Dynasty,1992,PC,Dune II: The Building of a Dynasty,86,1992,https://www.igdb.com/games/dune-ii-the-building-of-a-dynasty
543,Doom II: Hell on Earth,1994,PC,Doom II: Hell on Earth,312,1994,https://www.igdb.com/games/doom-ii-hell-on-earth
432,SteamWorld Heist,2015,Nintendo Switch,SteamWorld Heist,15167,2015,https://www.igdb.com/games/steamworld-heist
574,A Plague Tale: Innocence,2019,PlayStation 4,A Plague Tale: Innocence,27316,2019,https://www.igdb.com/games/a-plague-tale-innocence
546,Syndicate Wars,1996,,Syndicate Wars,51,1996,https://www.igdb.com/games/syndicate-wars
519,KKND: Krush Kill 'n Destroy Xtreme,1997,PC,24701,24701,,
538,X-COM: UFO Defense,1993,PC,UFO: Enemy Unknown,24,1994,https://www.igdb.com/games/ufo-enemy-unknown--1
560,Resident Evil 2,2019,PlayStation 4,Resident Evil 2,19686,2019,https://www.igdb.com/games/resident-evil-2--1
531,SimCity 2000,1993,PC,SimCity 2000,330,1994,https://www.igdb.com/games/simcity-2000
